grp , pp , S , IDR , IDL , decTimeL , MTL , peakVelR , maxangleR , rho , circularityR , accQL , accTimeR , q4L , Rf , q2L , IPerfEfL , q3L , accQR , q2R , flsAmp , peakVelL , phDiffStd , MTR , decTimeR , IPerfR , IPerfL , circularityL , phDiffMean , IPerfEfR , q3R , maxangleL , flsPC , q1L , accTimeL , q4R , q1R , Lf
1,2,1,2,1,0.49648,1.6574,0.17472,0.23737,1,0.71335,1.2438,0.46362,0.53888,0.28898,0.55608,5.7082,0.75967,1.7269,0.45078,0.081098,0.17926,0.0040528,1.5495,0.53738,4.0036,5.213,0.79611,0.0093001,5.0639,0.89451,0.23203,0.1741,0.86625,0.5045,0.5338,0.91451,0.28898
1,2,1,2,1,0.49485,1.3693,0.19877,0.20362,1,0.60217,1.2461,0.4708,0.58741,0.31795,0.49463,9.5875,0.7466,1.3519,0.49375,0.089063,0.16596,0.0050932,1.4602,0.53023,4.1171,9.3142,0.65096,0.037434,4.7299,0.81128,0.24862,0.17447,0.74017,0.5069,0.61685,0.92052,0.31795
1,2,1,2,2,0.51583,1.1134,0.22746,0.22587,1,0.64647,1.752,0.50116,0.56197,0.45211,0.4982,3.6497,0.98699,1.4455,0.49506,0.14236,0.26336,0.0061178,0.99371,0.50059,6.9941,2.6005,0.69012,0.055092,8.2392,0.93674,0.17824,0.17566,0.93141,0.48517,0.51375,0.92872,0.45211
1,2,1,2,2,0.50632,1.0125,0.23512,0.25693,1,0.71068,1.5927,0.50332,0.58259,0.46705,0.63633,3.5617,0.98241,1.3768,0.53919,0.1553,0.22397,0.0052247,1.0081,0.49769,4.0245,2.6,0.77437,0.054004,4.8642,0.96687,0.28424,0.17157,1.0036,0.49468,0.62109,0.93089,0.46705
1,2,1,2,2,0.49863,0.89083,0.23632,0.19504,1,0.67365,1.2116,0.50563,0.70684,0.58594,0.66971,4.9354,0.79371,1.1638,0.60085,0.16258,0.22803,0.0090385,0.89113,0.49557,4.7921,3.7822,0.70208,0.050629,5.0893,0.80304,0.19222,0.17548,0.92335,0.50282,0.62783,0.8983,0.58594
1,2,1,3,1,0.48517,1.325,0.20778,0.27448,1,0.62207,1.1718,0.50298,0.65456,0.37339,0.53767,6.5223,0.80499,1.3286,0.61109,0.10039,0.19387,0.003844,1.2821,0.49805,2.6747,6.3892,0.58213,0.08688,3.8525,0.7872,0.24553,0.1739,0.67861,0.51603,0.66318,0.8987,0.37339
1,2,1,3,1,0.48644,1.2869,0.17295,0.22984,1,0.752,1.1948,0.46511,0.57659,0.32992,0.5768,11.561,0.86929,1.5873,0.55596,0.078604,0.15969,0.0067149,1.358,0.53655,4.3214,11.618,0.67285,0.034673,6.1871,0.86327,0.16721,0.16693,0.85556,0.51574,0.65755,0.88378,0.32992
1,2,1,3,1,0.49392,1.4007,0.20225,0.30994,1,0.66726,1.333,0.48074,0.52535,0.36439,0.5035,4.0485,0.87938,1.4986,0.53767,0.081483,0.19924,0.0051221,1.3587,0.52006,2.0781,3.8932,0.7008,0.049737,2.9717,0.9723,0.19575,0.16349,0.76364,0.50681,0.57581,0.89294,0.36439
1,2,1,3,2,0.50563,0.72489,0.2436,0.24151,1,0.78457,1.198,0.47695,0.7863,0.71957,0.82236,4.6437,0.85123,1.2796,0.62646,0.17138,0.27808,0.0064259,0.63129,0.52516,5.4978,3.7445,0.82121,0.10066,7.8309,0.77612,0.2087,0.17615,0.91397,0.49581,0.77477,0.89544,0.71957
1,2,1,3,2,0.53324,0.62685,0.26611,0.21532,1,0.8355,1.1913,0.47248,0.86989,0.79901,0.76859,4.7855,0.78714,1.1708,0.73507,0.17603,0.27398,0.010374,0.60447,0.52923,4.4686,4.4183,0.83644,0.095395,6.755,0.85593,0.1804,0.17447,0.9387,0.46846,0.82376,0.93254,0.79901
1,2,1,3,2,0.50617,0.50594,0.23112,0.18286,1,0.77048,1.0802,0.48203,0.78497,0.86167,0.66933,12.272,0.73127,1.1878,0.7202,0.17569,0.22618,0.0088559,0.51046,0.52105,7.9887,10.788,0.72431,0.085177,10.651,0.80071,0.17904,0.17113,0.86169,0.49798,0.77223,0.86549,0.86167
1,2,4,1,1,0.50319,0.71879,0.14222,0.17744,1,0.75627,1.1512,0.49459,0.51688,0.40133,0.5274,23.815,0.78433,1.2787,0.40689,0.10098,0.15534,0.011501,0.81528,0.51028,25.912,25.254,0.69535,-0.24951,23.478,0.90991,0.19366,0.17151,0.84917,0.50155,0.39671,0.86401,0.40133
1,2,4,1,1,0.50043,0.86809,0.20599,0.18878,1,0.72228,1.1643,0.46856,0.60129,0.41199,0.47393,20.02,0.86365,1.5498,0.50812,0.10291,0.19103,0.010491,1.0997,0.53369,11.999,20.287,0.73717,-0.26161,11.907,0.91636,0.21667,0.17141,0.7996,0.50338,0.51523,0.89056,0.41199
