grp , pp , S , ID , UIPerfEfL , Uq1L , UpeakVelL , Uq3L , Uq2L , Uq4L , UaccQL , UcircularityL , UIPerfL , UaccTimeL , UdecTimeL , UMTL , UmaxangleL
1,9,7,1,5.2391,0.83467,0.20601,0.78312,0.6251,0.61502,1.3073,0.6649,5.37,0.47385,0.52716,0.99618,0.36928
1,9,7,1,7.1962,0.85743,0.21139,0.72596,0.64393,0.55384,1.2744,0.72428,7.5612,0.47788,0.52354,0.84462,0.31812
1,9,7,2,11.934,0.84349,0.56741,0.87611,0.91122,0.83651,0.92563,0.87606,10.754,0.52397,0.48017,0.24244,0.1865
1,9,7,2,11.994,0.78948,0.55321,0.87702,0.89317,0.87925,1.0025,0.87221,10.964,0.50408,0.50014,0.23771,0.14639
1,9,7,2,15.355,0.82949,0.52519,0.96111,0.90578,0.94609,0.95696,0.90578,11.587,0.51472,0.48974,0.22522,0.17817
2,10,1,1,8.7903,0.87807,0.1823,0.87431,0.64845,0.66127,1.1213,0.75686,8.8045,0.50978,0.49187,1.0506,0.28744
2,10,1,1,5.4994,0.91345,0.16691,0.81828,0.6482,0.63237,1.1326,0.75184,5.8879,0.49424,0.50686,1.0499,0.36762
2,10,1,1,4.0428,0.86101,0.15244,0.78365,0.65308,0.74912,1.2079,0.79974,4.1198,0.49012,0.51066,1.3089,0.36598
2,10,1,2,4.9663,0.72809,0.2127,0.8698,0.76433,0.79899,0.98463,0.79592,3.4881,0.51084,0.49051,0.74825,0.16387
2,10,1,2,5.8562,0.87636,0.28385,0.85649,0.82242,0.80635,1.0189,0.84177,4.3122,0.49886,0.5028,0.60376,0.24774
2,10,1,2,4.9935,0.78841,0.27729,0.86287,0.84258,0.85806,0.98647,0.83653,4.385,0.50735,0.49434,0.59489,0.17462
2,10,4,1,10.474,0.71916,0.15431,0.77397,0.56866,0.6872,1.1645,0.64855,8.836,0.52815,0.47351,1.4557,0.17833
2,10,4,1,12.798,0.7078,0.14457,0.75139,0.53792,0.67918,1.1719,0.51104,11.442,0.52995,0.4722,1.3408,0.20958
2,10,4,1,6.4724,0.84705,0.1807,0.85575,0.60513,0.58641,1.3347,0.70699,5.6768,0.50711,0.49396,1.3922,0.15686
2,10,4,2,5.9439,0.87677,0.30146,0.8194,0.74978,0.76313,1.0481,0.82455,4.757,0.49753,0.5043,0.5494,0.31244
2,10,4,2,6.8787,0.79396,0.31734,0.97376,0.8508,0.74792,0.96045,0.78583,5.0273,0.51561,0.48632,0.51853,0.26461
2,10,4,2,7.5371,0.79668,0.31507,0.7969,0.86856,0.78992,0.97595,0.81879,4.822,0.51002,0.49183,0.54198,0.35314
2,10,7,1,22.376,0.83844,0.24594,0.8726,0.61252,0.49914,1.2727,0.53443,19.902,0.51741,0.48633,0.83915,0.16797
2,10,7,1,21.712,0.84687,0.24722,0.82613,0.59599,0.63256,1.3259,0.72485,19.121,0.50562,0.49797,0.80869,0.31482
2,10,7,1,16.226,0.80856,0.27301,0.9963,0.59691,0.52608,1.2875,0.67931,15.401,0.51137,0.49152,0.90395,0.1876
2,10,7,2,8.0588,0.82202,0.32612,0.86605,0.73412,0.71259,0.95936,0.84281,4.8271,0.52382,0.47804,0.5398,0.48487
2,10,7,2,8.6739,0.90084,0.35647,1.0153,0.71288,0.72809,0.91257,0.78424,5.4515,0.53388,0.46821,0.48123,0.31719
2,10,7,2,7.9154,0.85614,0.34664,0.96755,0.69542,0.7589,0.93131,0.80815,5.329,0.5286,0.47345,0.48858,0.38238
