grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,1,1,2,1,0.83562,2.7959,1.4648,0.43159,0.331,0.149,0.185,0.44611,7.8534,8.4469,0.84655,0.17737,0.85967,0.79858,0.87293,0.85137,0.19485
2,1,2,1,0.049946,0.87342,5.5592,0.4138,0.16518,1.203,0.357,0.86,0.29919,4.4239,4.6211,0.84042,0.35513,0.95728,0.77844,0.96051,0.74213,0.93969
2,1,2,1,0.079993,0.8447,5.504,0.42832,0.17193,1.163,0.346,0.833,0.29295,4.576,4.7326,0.79945,0.33973,0.93192,0.71208,0.9248,0.68827,0.44294
2,1,2,1,0.071096,0.83944,5.3885,0.43194,0.16888,1.182,0.358,0.816,0.3132,4.5025,4.5588,0.77927,0.29918,0.92356,0.76772,0.91116,0.70802,0.32509
2,1,2,2,1,0.87142,2.8913,2.7127,0.73245,0.189,0.099,0.097,0.47368,13.754,15.298,0.87501,0.016461,0.86215,0.89261,0.86796,0.7566,0
2,1,2,2,1,0.84872,3.1616,2.9297,0.70843,0.173,0.096,0.082,0.52525,15.026,18.275,0.90259,0.046808,0.86873,0.78435,0.90259,0.7566,0
2,1,2,2,1,0.83789,3.0636,2.3438,0.55321,0.2265,0.1165,0.107,0.53348,11.477,13.526,0.87505,0.073991,0.86098,0.89676,0.91378,0.8047,0.10707
2,1,3,1,0.08789,0.8514,5.9286,0.4138,0.15398,1.236,0.374,0.85,0.30681,4.3058,4.7966,0.79542,0.38414,0.91025,0.74945,0.9117,0.69157,0.26134
2,1,3,1,0.086249,0.8297,5.5117,0.45211,0.18669,1.129,0.369,0.761,0.32368,4.7138,4.882,0.75341,0.31438,0.8262,0.68753,0.8918,0.68506,0.44241
2,1,3,1,0.10424,0.89207,5.2309,0.45711,0.17099,1.077,0.378,0.718,0.3549,4.9414,4.857,0.87476,0.31662,0.93024,0.81097,0.97743,0.82121,0.63694
2,1,3,2,1,0.86903,3.5042,1.6741,0.44174,0.302,0.148,0.1595,0.48188,8.6075,11.603,0.89661,0.18386,0.88341,0.92329,0.91778,0.86645,0.21542
2,1,3,2,1,0.85148,3.3285,2.1307,0.5766,0.234,0.117,0.116,0.48163,11.109,14.224,0.84847,0.083614,0.87243,0.88209,0.8579,0.83868,0.12104
2,1,3,2,1,0.86495,3.0128,2.1307,0.56071,0.238,0.115,0.125,0.47718,10.922,12.659,0.88035,0.095862,0.91873,0.91695,0.86644,0.84652,0.2072
2,4,1,1,0.05786,0.80108,5.4722,0.44222,0.20469,1.105,0.297,0.801,0.27572,4.8162,4.9523,0.75284,0.38815,0.90305,0.66546,0.91832,0.63294,0.5286
2,4,1,1,0.085184,0.82327,5.3796,0.46875,0.1889,1.032,0.293,0.75,0.28077,5.1569,5.2128,0.75813,0.37478,0.93325,0.71366,0.88693,0.65825,0.46522
2,4,1,1,0.07999,0.82916,5.2623,0.42126,0.16787,1.186,0.3035,0.8755,0.26018,4.4873,4.437,0.77101,0.41684,0.96118,0.74652,0.9295,0.66415,0.52046
2,4,1,2,1,0.80709,3.4765,1.2638,0.45075,0.357,0.16,0.195,0.45531,7.2814,9.738,0.76341,0.15603,0.78373,0.77822,0.77292,0.71219,0.22498
2,4,1,2,1,0.82237,2.9197,1.878,0.57892,0.268,0.132,0.143,0.47955,9.6995,10.894,0.81307,0.13386,0.82402,0.86935,0.83452,0.75772,0.33485
2,4,1,2,1,0.84098,2.7898,1.8029,0.5558,0.279,0.141,0.146,0.48649,9.3171,9.9992,0.81608,0.13092,0.79057,0.88234,0.90501,0.74184,0.17789
2,4,2,1,0.092631,0.82786,5.2084,0.42832,0.15377,1.191,0.346,0.82,0.30029,4.4685,4.3731,0.73973,0.33499,0.96088,0.73735,0.90156,0.70944,0.31016
2,4,2,1,0.10211,0.86073,5.6635,0.42614,0.15592,1.18,0.332,0.837,0.28388,4.5101,4.7996,0.80791,0.40245,0.98281,0.79047,0.93692,0.70463,0.6053
2,4,2,1,0.068787,0.84351,5.6581,0.42093,0.16968,1.21,0.33,0.867,0.27903,4.3983,4.6761,0.77767,0.44803,0.9876,0.73253,0.93348,0.68837,0.71367
2,4,2,2,1,0.84357,3.2752,1.8029,0.57399,0.277,0.138,0.14,0.5,9.3843,11.824,0.84676,0.11788,0.81842,0.91498,0.86449,0.81114,0.26067
2,4,2,2,1,0.85803,3.5002,2.5391,0.66079,0.205,0.106,0.101,0.51327,12.68,17.074,0.82593,0.085056,0.8522,0.85103,0.8066,0.85329,0.14638
2,4,2,2,1,0.85476,3.4328,2.4414,0.67615,0.21,0.112,0.102,0.53302,12.378,16.347,0.8479,0.11076,0.85227,0.78435,0.83702,0.84852,0.11811
2,4,3,1,0.10284,0.81368,5.4824,0.40838,0.14529,1.1945,0.361,0.807,0.32348,4.4554,4.5897,0.79777,0.32714,0.891,0.771,0.87817,0.67635,0.26753
2,4,3,1,0.12765,0.88355,5.6891,0.43846,0.15741,1.161,0.371,0.79,0.33671,4.5839,4.9002,0.86075,0.38004,0.97679,0.86576,0.96202,0.74002,0.81777
2,4,3,1,0.10972,0.86599,5.7168,0.41853,0.15876,1.19,0.36,0.822,0.30431,4.4722,4.804,0.82226,0.36982,0.96399,0.80064,0.95776,0.71243,0.41293
2,4,3,2,1,0.82634,2.9928,1.878,0.58906,0.272,0.14,0.14,0.50183,9.5568,11.003,0.81789,0.15051,0.80587,0.93794,0.83301,0.78766,0.15901
2,4,3,2,1,0.84566,3.0153,2.1307,0.60128,0.233,0.12,0.116,0.50847,11.156,12.941,0.85577,0.15348,0.83482,0.93356,0.8751,0.82158,0.31865
2,4,3,2,1,0.85227,3.3634,2.1307,0.59324,0.233,0.123,0.119,0.49561,11.156,14.435,0.84226,0.13194,0.84603,0.96049,0.84633,0.82103,0.41503
2,5,1,1,0.11489,0.80526,5.4282,0.35383,0.14672,1.439,0.525,0.914,0.36897,3.6984,3.7722,0.74054,0.32972,0.89811,0.71168,0.86682,0.6738,0.30287
2,5,1,1,0.10208,0.85412,5.6376,0.36991,0.16575,1.384,0.468,0.904,0.34175,3.8453,4.0734,0.78959,0.3458,0.93778,0.73254,0.92128,0.74637,0.49373
2,5,1,1,0.11117,0.82661,5.5681,0.36621,0.17062,1.323,0.417,0.883,0.33065,4.0226,4.2087,0.74807,0.32664,0.9123,0.69268,0.8972,0.69388,0.28551
2,5,1,2,1,0.78029,3.4087,0.97656,0.25074,0.555,0.294,0.2785,0.50806,4.6852,6.1438,0.76516,0.17869,0.75089,0.78452,0.77077,0.72599,0.25344
2,5,1,2,1,0.86771,3.6291,1.019,0.30462,0.478,0.24,0.232,0.50939,5.4382,7.5924,0.86181,0.14516,0.87478,0.90944,0.83434,0.82119,0.19404
