grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,4,1,1,0.81616,1.1035,0.298,0.8005,0.27572,4.8228,-2.3114,0.05786,0.44222,0.75284,0.38815,0.90305,0.66546,0.91832,0.63294,3.1416
2,4,1,1,0.80705,1.032,0.292,0.7495,0.28153,5.1569,-2.499,0.085184,0.46875,0.75813,0.37478,0.93325,0.71366,0.88693,0.65825,1.5708
2,4,1,1,0.87264,1.185,0.299,0.87,0.25917,4.4911,-2.1606,0.07999,0.42126,0.77101,0.41684,0.96118,0.74652,0.9295,0.66415,1.4832
2,4,1,2,0.77148,0.358,0.16,0.197,0.45666,7.2611,-6.8064,1,1.2638,0.76341,0.15603,0.78373,0.77822,0.77292,0.71219,1.0595
2,4,1,2,0.81994,0.268,0.1325,0.1425,0.4835,9.6995,-9.0166,1,1.878,0.81307,0.13386,0.82402,0.86935,0.83452,0.75772,0.58941
2,4,1,2,0.8566,0.2795,0.141,0.1455,0.48743,9.3004,-8.7423,1,1.8029,0.81608,0.13092,0.79057,0.88234,0.90501,0.74184,0.52421
2,4,2,1,0.82799,1.191,0.345,0.828,0.29578,4.4685,-2.1514,0.092631,0.42832,0.73973,0.33499,0.96088,0.73735,0.90156,0.70944,1.4847
2,4,2,1,0.87538,1.176,0.3325,0.837,0.2843,4.5255,-2.2208,0.10211,0.42614,0.80791,0.40245,0.98281,0.79047,0.93692,0.70463,1.5708
2,4,2,1,0.88936,1.21,0.3305,0.87,0.27907,4.3983,-2.1466,0.068787,0.42093,0.77767,0.44803,0.9876,0.73253,0.93348,0.68837,1.4735
2,4,2,2,0.85527,0.278,0.139,0.141,0.49564,9.3507,-8.7627,1,1.8029,0.84676,0.11788,0.81842,0.91498,0.86449,0.81114,0.97836
2,4,2,2,0.8423,0.204,0.1065,0.1005,0.51392,12.743,-11.965,1,2.5391,0.82593,0.085056,0.8522,0.85103,0.8066,0.85329,0.43111
2,4,2,2,0.87101,0.21,0.1125,0.1025,0.53787,12.378,-11.533,1,2.4414,0.8479,0.11076,0.85227,0.78435,0.83702,0.84852,0.39203
2,4,3,1,0.76332,1.196,0.357,0.826,0.32221,4.4498,-2.1499,0.10284,0.40838,0.79777,0.32714,0.891,0.771,0.87817,0.67635,1.5708
2,4,3,1,0.90667,1.169,0.3735,0.7835,0.34075,4.5528,-2.2027,0.12765,0.43846,0.86075,0.38004,0.97679,0.86576,0.96202,0.74002,2.1495
2,4,3,1,0.88073,1.1875,0.3605,0.822,0.30561,4.4816,-2.1765,0.10972,0.41853,0.82226,0.36982,0.96399,0.80064,0.95776,0.71243,1.5708
2,4,3,2,0.86159,0.272,0.1405,0.14,0.50191,9.5568,-8.7557,1,1.878,0.81789,0.15051,0.80587,0.93794,0.83301,0.78766,0.54941
2,4,3,2,0.89542,0.233,0.1215,0.116,0.51972,11.156,-10.156,1,2.1307,0.85577,0.15348,0.83482,0.93356,0.8751,0.82158,0.86877
2,4,3,2,0.87304,0.234,0.124,0.119,0.50934,11.109,-10.248,1,2.1307,0.84226,0.13194,0.84603,0.96049,0.84633,0.82103,0.68464
2,5,1,1,0.80138,1.44,0.52,0.92,0.36671,3.6958,-1.7299,0.11489,0.35383,0.74054,0.32972,0.89811,0.71168,0.86682,0.6738,1.8427
2,5,1,1,0.84388,1.385,0.4735,0.9065,0.34282,3.8425,-1.8358,0.10208,0.36991,0.78959,0.3458,0.93778,0.73254,0.92128,0.74637,3.1416
2,5,1,1,0.81471,1.323,0.424,0.88,0.33277,4.0226,-1.8986,0.11117,0.36621,0.74807,0.32664,0.9123,0.69268,0.8972,0.69388,2.6356
2,5,1,2,0.81731,0.565,0.293,0.282,0.50607,4.6008,-4.2204,1,0.97656,0.76516,0.17869,0.75089,0.78452,0.77077,0.72599,1.4263
2,5,1,2,0.87001,0.481,0.241,0.232,0.51044,5.4045,-5.1527,1,1.019,0.86181,0.14516,0.87478,0.90944,0.83434,0.82119,0.96665
2,5,1,2,0.89765,0.475,0.24,0.237,0.50682,5.4726,-5.0485,1,1.0653,0.85558,0.15402,0.84724,0.86024,0.83053,0.83188,1.0254
2,5,2,1,0.69565,1.173,0.3665,0.8055,0.30891,4.5371,-2.2142,0.080284,0.43777,0.70917,0.3385,0.79,0.62809,0.83523,0.67948,1.5708
2,5,2,1,0.80251,1.0625,0.359,0.7175,0.33243,5.0089,-2.3888,0.05187,0.47907,0.7547,0.25655,0.88009,0.73075,0.87248,0.69918,1.671
2,5,2,1,0.81104,1.013,0.351,0.6565,0.36317,5.2537,-2.5364,0.099161,0.47743,0.78784,0.2544,0.9026,0.77637,0.90308,0.71666,1.4522
2,5,2,2,0.82779,0.316,0.1605,0.153,0.51266,8.2261,-7.7326,1,1.5625,0.80919,0.14451,0.72327,0.89895,0.84334,0.77842,0.65937
2,5,2,2,0.87236,0.34,0.1655,0.1725,0.49319,7.6455,-7.289,1,1.4648,0.86812,0.12893,0.83966,0.92206,0.90713,0.81267,0.95764
2,5,2,2,0.86991,0.3325,0.161,0.167,0.49335,7.8184,-7.3762,1,1.4974,0.86241,0.11304,0.8478,0.88555,0.86201,0.84315,0.84905
2,5,3,1,0.82887,1.002,0.307,0.694,0.31395,5.3113,-2.5703,0.083698,0.51153,0.78276,0.31861,0.9228,0.71877,0.92611,0.69152,2.02
2,5,3,1,0.85853,0.9595,0.32,0.651,0.32661,5.5466,-2.6702,0.13251,0.49867,0.83753,0.31004,0.92074,0.74619,0.92914,0.7391,1.5247
2,5,3,1,0.8577,1.103,0.327,0.789,0.29521,4.825,-2.3573,0.090494,0.44759,0.81283,0.3437,0.93421,0.72704,0.94882,0.72813,1.5708
2,5,3,2,0.89062,0.3145,0.1545,0.1555,0.49765,8.2654,-7.8398,1,1.6276,0.88102,0.14248,0.84922,0.88477,0.88978,0.87149,0.92275
2,5,3,2,0.89256,0.287,0.144,0.142,0.50088,9.0574,-8.5466,1,1.7278,0.87956,0.09759,0.83748,0.90864,0.90186,0.85675,0.65337
2,5,3,2,0.89692,0.278,0.143,0.1375,0.51006,9.3507,-8.527,1,1.8029,0.88924,0.16454,0.71983,0.88893,0.90289,0.86262,0.95643
2,7,1,1,0.77468,1.6425,0.6125,1.0395,0.37821,3.2401,-1.5545,0.39405,0.28076,0.74104,0.37179,0.93141,0.66138,0.8303,0.68049,3.1416
2,7,1,1,0.69392,1.4145,0.4895,0.9075,0.35776,3.7624,-1.8097,0.23511,0.37339,0.697,0.35546,0.80585,0.60764,0.80946,0.61858,3.1416
2,7,1,1,0.83943,1.4875,0.497,0.9695,0.34425,3.5778,-1.6991,0.18792,0.31196,0.78547,0.34707,0.94029,0.74149,0.90905,0.68879,2.7553
2,7,1,2,0.81782,0.283,0.147,0.139,0.52355,9.1854,-8.6035,1,1.237,0.79114,0.17594,0.80098,0.78435,0.76867,0.79261,0.85827
2,7,1,2,0.76239,0.3095,0.1565,0.1505,0.52381,8.3989,-7.455,1,1.6927,0.75846,0.16669,0.76436,0.85935,0.75043,0.72841,1.0149
2,7,1,2,0.84994,0.354,0.18,0.17,0.51648,7.3431,-6.2594,1,1.3787,0.81944,0.17658,0.83743,0.88769,0.78033,0.789,0.81714
