grp , pp , S , IDR , IDL , q4R
2,1,4,2,1,0.58754
2,1,4,2,1,0.5225
2,1,4,2,2,0.69594
2,1,4,2,2,0.72021
2,1,4,2,2,0.70549
2,1,4,2,2,0.69594
2,1,4,2,2,0.72021
2,1,4,2,2,0.70549
2,1,4,3,1,0.56459
2,1,4,3,1,0.7198
2,1,4,3,1,0.66111
2,1,4,3,1,0.56459
2,1,4,3,1,0.7198
2,1,4,3,1,0.66111
2,1,4,3,2,0.72026
2,1,4,3,2,0.83272
2,1,4,3,2,0.91221
2,1,4,3,2,0.72026
2,1,4,3,2,0.83272
2,1,4,3,2,0.91221
2,1,7,1,1,0.55274
2,1,7,1,1,0.63635
2,1,7,1,1,0.71302
2,1,7,1,1,0.55274
2,1,7,1,1,0.63635
2,1,7,1,1,0.71302
2,1,7,1,2,0.8424
2,1,7,1,2,0.73086
2,1,7,1,2,0.70817
2,1,7,1,2,0.8424
2,1,7,1,2,0.73086
2,1,7,1,2,0.70817
2,1,7,2,1,0.62063
2,1,7,2,1,0.71248
2,1,7,2,1,0.76454
2,1,7,2,1,0.62063
2,1,7,2,1,0.71248
2,1,7,2,1,0.76454
2,1,7,2,2,0.84663
2,1,7,2,2,0.91533
2,1,7,2,2,0.97348
2,1,7,2,2,0.84663
2,1,7,2,2,0.91533
2,1,7,2,2,0.97348
2,1,7,3,1,0.87712
2,1,7,3,1,0.93867
2,1,7,3,1,0.89536
2,1,7,3,1,0.87712
2,1,7,3,1,0.93867
2,1,7,3,1,0.89536
2,1,7,3,2,0.90684
2,1,7,3,2,0.9516
2,1,7,3,2,1.0344
2,1,7,3,2,0.90684
2,1,7,3,2,0.9516
2,1,7,3,2,1.0344
2,4,1,1,1,0.50638
2,4,1,1,1,0.69172
2,4,1,1,1,0.48256
2,4,1,1,1,0.50638
2,4,1,1,1,0.69172
2,4,1,1,1,0.48256
2,4,1,1,2,0.67406
2,4,1,1,2,0.57343
2,4,1,1,2,0.59165
2,4,1,1,2,0.67406
2,4,1,1,2,0.57343
