grp , pp , S , IDR , IDL , accTimeR
1,2,1,1,2,0.73694
1,2,1,1,2,0.27859
1,2,1,1,2,0.62394
1,2,1,1,2,0.27123
1,2,1,1,2,0.6104
1,2,1,1,2,0.32665
1,2,1,1,2,0.75265
1,2,1,1,2,0.3057
1,2,1,1,2,0.63508
1,2,1,1,2,0.23952
1,2,1,1,2,0.68989
1,2,1,1,2,0.33849
1,2,1,1,2,0.68665
1,2,1,1,2,0.33162
1,2,1,1,2,0.6763
1,2,1,1,2,0.233
1,2,1,1,2,0.72772
1,2,1,1,2,0.17951
1,2,1,1,2,0.78303
1,2,1,1,2,0.3084
1,2,1,1,2,0.73645
1,2,1,1,2,0.25089
1,2,1,1,2,0.83849
1,2,1,1,2,0.26863
1,2,1,1,2,0.62553
1,2,1,1,2,0.25273
1,2,1,1,2,0.6875
1,2,1,1,2,0.26677
1,2,1,1,2,0.65677
1,2,1,1,2,0.26869
1,2,1,1,2,0.71751
1,2,1,1,2,0.27449
1,2,1,1,2,0.63768
1,2,1,1,2,0.61146
1,2,1,1,2,0.76471
1,2,1,1,2,0.28135
1,2,1,1,2,0.80749
1,2,1,1,2,0.24512
1,2,1,1,2,0.79497
1,2,1,1,2,0.24876
1,2,1,1,2,0.7395
1,2,1,1,2,0.21645
1,2,1,1,2,0.73365
1,2,1,1,2,0.33146
1,2,1,1,2,0.6813
1,2,1,1,2,0.37723
1,2,1,1,2,0.73186
1,2,1,1,2,0.30656
1,2,1,1,2,0.68394
1,2,1,1,2,0.28945
1,2,1,1,2,0.59259
1,2,1,1,2,0.65432
1,2,1,1,2,0.71867
1,2,1,1,2,0.26904
1,2,1,1,2,0.57016
1,2,1,1,2,0.27507
1,2,1,1,2,0.67313
1,2,1,1,2,0.23953
1,2,1,1,2,0.67326
1,2,1,2,1,0.46173
1,2,1,2,1,0.78824
1,2,1,2,1,0.54514
1,2,1,2,1,0.61404
1,2,1,2,1,0.67911
1,2,1,2,1,0.34745
1,2,1,2,1,0.55274
1,2,1,2,1,0.26644
1,2,1,2,1,0.65946
1,2,1,2,1,0.35088
1,2,1,2,1,0.57775
1,2,1,2,1,0.29601
1,2,1,2,1,0.60554
1,2,1,2,1,0.32544
1,2,1,2,1,0.69541
1,2,1,2,1,0.36616
1,2,1,2,1,0.64706
1,2,1,2,1,0.26954
1,2,1,2,1,0.65414
1,2,1,2,1,0.29439
1,2,1,2,1,0.58789
1,2,1,2,1,0.2869
1,2,1,2,1,0.665
1,2,1,2,1,0.34436
1,2,1,2,1,0.57274
1,2,1,2,1,0.30801
1,2,1,2,1,0.57241
1,2,1,2,1,0.24314
1,2,1,2,1,0.56884
1,2,1,2,1,0.27241
1,2,1,2,1,0.62982
1,2,1,2,1,0.33682
1,2,1,2,1,0.57079
1,2,1,2,1,0.36458
1,2,1,2,1,0.6271
1,2,1,2,1,0.33213
1,2,1,2,1,0.63996
1,2,1,2,1,0.29188
1,2,1,2,1,0.57065
1,2,1,2,1,0.41043
1,2,1,2,1,0.61397
1,2,1,2,1,0.33015
1,2,1,2,1,0.64845
1,2,1,2,1,0.31499
1,2,1,2,1,0.70574
1,2,1,2,1,0.32765
1,2,1,2,1,0.67998
1,2,1,2,1,0.2777
1,2,1,2,1,0.6897
1,2,1,2,1,0.27672
1,2,1,2,1,0.72185
1,2,1,2,1,0.31284
1,2,1,2,1,0.66782
1,2,1,2,1,0.32258
1,2,1,2,1,0.58482
1,2,1,2,1,0.34175
1,2,1,2,1,0.5999
1,2,1,2,1,0.26029
1,2,1,2,1,0.51282
1,2,1,2,1,0.49275
1,2,1,2,1,0.37654
1,2,1,2,1,0.4375
1,2,1,2,1,0.37522
1,2,1,2,1,0.45078
1,2,1,2,1,0.4962
1,2,1,2,1,0.58706
1,2,1,2,1,0.052239
1,2,1,2,1,0.49596
1,2,1,2,1,0.47351
1,2,1,2,1,0.52895
1,2,1,2,1,0.63905
1,2,1,2,1,0.26609
1,2,1,2,1,0.65748
1,2,1,2,1,0.22633
1,2,1,2,1,0.6395
1,2,1,2,1,0.2918
1,2,1,2,1,0.66091
1,2,1,2,1,0.3379
1,2,1,2,1,0.5933
1,2,1,2,1,0.30591
1,2,1,2,1,0.55201
1,2,1,2,1,0.21306
1,2,1,2,1,0.67209
1,2,1,2,1,0.27809
1,2,1,2,1,0.65993
1,2,1,2,1,0.24038
1,2,1,2,1,0.71493
1,2,1,2,1,0.23785
1,2,1,2,1,0.77014
1,2,1,2,1,0.27912
1,2,1,2,1,0.62123
1,2,1,2,1,0.38448
1,2,1,2,1,0.58507
1,2,1,2,1,0.36851
1,2,1,2,1,0.59929
1,2,1,2,1,0.31681
1,2,1,2,1,0.66525
1,2,1,2,1,0.2927
1,2,1,2,1,0.65727
1,2,1,2,1,0.22803
1,2,1,2,1,0.70756
1,2,1,2,1,0.38173
1,2,1,2,1,0.60313
1,2,1,2,1,0.23938
1,2,1,2,1,0.57977
1,2,1,2,1,0.3708
1,2,1,2,1,0.65768
1,2,1,2,1,0.30662
1,2,1,2,1,0.57533
1,2,1,2,1,0.36281
1,2,1,2,1,0.50189
1,2,1,2,1,0.36907
1,2,1,2,1,0.67283
1,2,1,2,1,0.26069
1,2,1,2,1,0.66149
1,2,1,2,1,0.34141
1,2,1,2,1,0.70299
1,2,1,2,1,0.23063
1,2,1,2,1,0.57348
1,2,1,2,1,0.2796
1,2,1,2,1,0.66855
1,2,1,2,1,0.26916
1,2,1,2,1,0.63395
1,2,1,2,1,0.32734
1,2,1,2,1,0.62906
1,2,1,2,1,0.54986
1,2,1,2,1,0.49811
1,2,1,2,1,0.54244
1,2,1,2,1,0.51622
1,2,1,2,1,0.59556
1,2,1,2,1,0.2701
1,2,1,2,1,0.65056
1,2,1,2,1,0.38705
1,2,1,2,1,0.78997
1,2,1,2,1,0.41735
1,2,1,2,1,0.60141
1,2,1,2,1,0.3254
1,2,1,2,1,0.51775
1,2,1,2,1,0.32585
1,2,1,2,1,0.69395
1,2,1,2,1,0.35044
1,2,1,2,1,0.52142
1,2,1,2,1,0.36609
1,2,1,2,1,0.64003
1,2,1,2,1,0.42458
1,2,1,2,1,0.56796
1,2,1,2,1,0.3668
1,2,1,2,1,0.65382
1,2,1,2,1,0.27161
1,2,1,2,1,0.56283
1,2,1,2,1,0.3024
1,2,1,2,1,0.66667
1,2,1,2,1,0.34306
1,2,1,2,1,0.54523
1,2,1,2,1,0.27062
1,2,1,2,1,0.59692
1,2,1,2,1,0.3455
1,2,1,2,1,0.65284
1,2,1,2,1,0.27575
1,2,1,2,1,0.60149
1,2,1,2,1,0.34078
1,2,1,2,1,0.65202
1,2,1,2,1,0.33688
1,2,1,2,1,0.55671
1,2,1,2,1,0.25266
1,2,1,2,1,0.58519
1,2,1,2,1,0.34611
1,2,1,2,1,0.61101
1,2,1,2,1,0.31856
1,2,1,2,1,0.47945
