grp , pp , S , IDR , IDL , IPerfR
1,2,1,1,2,4.0075
1,2,1,1,2,3.7932
1,2,1,1,2,4.5721
1,2,1,1,2,4.1319
1,2,1,1,2,3.7531
1,2,1,1,2,4.8381
1,2,1,1,2,3.5013
1,2,1,1,2,4.1033
1,2,1,1,2,3.2912
1,2,1,1,2,3.9393
1,2,1,1,2,3.5291
1,2,1,1,2,5.7287
1,2,1,1,2,77.129
1,2,1,1,2,33.898
1,2,1,1,2,4.1741
1,2,1,1,2,4.1708
1,2,1,1,2,4.0656
1,2,1,1,2,4.1545
1,2,1,1,2,4.1806
1,2,1,1,2,4.4129
1,2,1,1,2,4.0656
1,2,1,1,2,5.2125
1,2,1,1,2,4.1938
1,2,1,1,2,4.9831
1,2,1,1,2,3.7691
1,2,1,1,2,3.9598
1,2,1,1,2,4.1971
1,2,1,1,2,6.0203
1,2,1,1,2,3.9393
1,2,1,1,2,5.3487
1,2,1,1,2,65.703
1,2,1,1,2,65.703
1,2,1,1,2,4.6643
1,2,1,1,2,5.403
1,2,1,1,2,4.2919
1,2,1,1,2,4.896
1,2,1,1,2,3.6855
1,2,1,1,2,4.8469
1,2,1,1,2,3.6302
1,2,1,2,1,10.204
1,2,1,2,1,23.529
1,2,1,2,1,13.889
1,2,1,2,1,17.544
1,2,1,2,1,2.3337
1,2,1,2,1,2.6882
1,2,1,2,1,2.1529
1,2,1,2,1,2.7397
1,2,1,2,1,2.4024
1,2,1,2,1,3.0511
1,2,1,2,1,2.2701
1,2,1,2,1,2.8531
1,2,1,2,1,2.0899
1,2,1,2,1,3.0558
1,2,1,2,1,2.7816
1,2,1,2,1,2.6438
1,2,1,2,1,2.736
1,2,1,2,1,2.6954
1,2,1,2,1,2.5063
1,2,1,2,1,2.6403
1,2,1,2,1,2.6042
1,2,1,2,1,2.7586
1,2,1,2,1,2.8571
1,2,1,2,1,2.7009
1,2,1,2,1,2.445
1,2,1,2,1,2.7624
1,2,1,2,1,2.122
1,2,1,2,1,3.0488
1,2,1,2,1,2.1345
1,2,1,2,1,2.3135
1,2,1,2,1,1.675
1,2,1,2,1,2.0921
1,2,1,2,1,2.2384
1,2,1,2,1,2.3002
1,2,1,2,1,2.3162
1,2,1,2,1,2.3981
1,2,1,2,1,2.0284
1,2,1,2,1,2.9261
1,2,1,2,1,2.1739
1,2,1,2,1,2.065
1,2,1,2,1,2.635
1,2,1,2,1,2.9412
1,2,1,2,1,2.4845
1,2,1,2,1,2.751
1,2,1,2,1,2.3447
1,2,1,2,1,2.5253
1,2,1,2,1,2.0481
1,2,1,2,1,2.6702
1,2,1,2,1,2.71
1,2,1,2,1,3.0326
1,2,1,2,1,2.4346
1,2,1,2,1,2.7027
1,2,1,2,1,2.3108
1,2,1,2,1,2.6333
1,2,1,2,1,2.0942
1,2,1,2,1,2.3488
1,2,1,2,1,2.0336
1,2,1,2,1,2.7913
1,2,1,2,1,51.282
1,2,1,2,1,19.324
1,2,1,2,1,24.691
1,2,1,2,1,22.727
1,2,1,2,1,6.9808
1,2,1,2,1,10.363
1,2,1,2,1,4.3431
1,2,1,2,1,6.1633
1,2,1,2,1,29.851
1,2,1,2,1,10.782
1,2,1,2,1,13.245
1,2,1,2,1,3.1721
1,2,1,2,1,1.5779
1,2,1,2,1,2.4525
1,2,1,2,1,1.9002
1,2,1,2,1,2.2409
1,2,1,2,1,1.8631
1,2,1,2,1,2.5823
1,2,1,2,1,1.9743
1,2,1,2,1,2.4891
1,2,1,2,1,2.3108
1,2,1,2,1,2.1097
1,2,1,2,1,2.091
1,2,1,2,1,2.6385
1,2,1,2,1,2.168
1,2,1,2,1,2.4829
1,2,1,2,1,2.0212
1,2,1,2,1,2.3683
1,2,1,2,1,2.2714
1,2,1,2,1,2.5237
1,2,1,2,1,2.3697
1,2,1,2,1,2.8409
1,2,1,2,1,1.9753
1,2,1,2,1,2.2989
1,2,1,2,1,2.3148
1,2,1,2,1,2.187
1,2,1,2,1,2.3781
1,2,1,2,1,2.3599
1,2,1,2,1,2.122
1,2,1,2,1,2.414
1,2,1,2,1,2.2112
1,2,1,2,1,2.4585
1,2,1,2,1,2.4783
1,2,1,2,1,2.0305
1,2,1,2,1,2.5078
1,2,1,2,1,2.574
1,2,1,2,1,2.3121
1,2,1,2,1,2.7416
1,2,1,2,1,2.2936
1,2,1,2,1,2.4287
1,2,1,2,1,2.4301
1,2,1,2,1,2.6008
1,2,1,2,1,2.1587
1,2,1,2,1,2.2334
1,2,1,2,1,2.1739
1,2,1,2,1,2.8031
1,2,1,2,1,2.3028
1,2,1,2,1,2.9369
1,2,1,2,1,1.99
1,2,1,2,1,2.4799
1,2,1,2,1,2.1299
1,2,1,2,1,2.3795
1,2,1,2,1,2.2586
1,2,1,2,1,2.5757
1,2,1,2,1,2.2561
1,2,1,2,1,2.5674
1,2,1,2,1,2.2792
1,2,1,2,1,5.698
1,2,1,2,1,7.5758
1,2,1,2,1,7.3801
1,2,1,2,1,11.799
1,2,1,2,1,2.1119
1,2,1,2,1,3.1226
1,2,1,2,1,2.5094
1,2,1,2,1,3.012
1,2,1,2,1,3.4014
1,2,1,2,1,2.9652
1,2,1,2,1,2.5674
1,2,1,2,1,2.0693
1,2,1,2,1,2.5823
1,2,1,2,1,2.1906
1,2,1,2,1,2.5189
1,2,1,2,1,2.5031
1,2,1,2,1,2.414
1,2,1,2,1,2.6385
1,2,1,2,1,2.642
1,2,1,2,1,2.9433
1,2,1,2,1,2.2561
1,2,1,2,1,2.7322
1,2,1,2,1,2.8551
1,2,1,2,1,2.8818
1,2,1,2,1,2.3162
1,2,1,2,1,2.6702
1,2,1,2,1,3.0166
1,2,1,2,1,2.7778
1,2,1,2,1,2.4287
1,2,1,2,1,3.084
1,2,1,2,1,2.2805
1,2,1,2,1,2.7045
1,2,1,2,1,2.0481
1,2,1,2,1,2.6578
1,2,1,2,1,2.2936
1,2,1,2,1,2.7933
1,2,1,2,1,2.7454
1,2,1,2,1,2.6631
1,2,1,2,1,2.0715
1,2,1,2,1,3.0441
1,2,1,2,1,2.2792
1,2,1,2,1,2.4722
1,2,1,2,1,2.3188
1,2,1,2,1,3.6934
1,2,1,2,1,54.795
1,2,1,2,1,21.739
1,2,1,2,1,2.2087
1,2,1,2,1,2.8349
1,2,1,2,1,2.3488
1,2,1,2,1,2.3938
1,2,1,2,1,2.1471
1,2,1,2,1,2.6543
1,2,1,2,1,2.2818
1,2,1,2,1,2.7416
1,2,1,2,1,2.3419
1,2,1,2,1,3.0888
1,2,1,2,1,2.2359
1,2,1,2,1,2.8818
