grp , pp , S , IDR , IDL , accQR
1,2,1,2,1,2.2634
1,2,1,2,1,0.73918
1,2,1,2,1,1.7581
1,2,1,2,1,0.99355
1,2,1,2,1,1.711
1,2,1,2,1,0.48708
1,2,1,2,1,2.8387
1,2,1,2,1,0.51262
1,2,1,2,1,1.9312
1,2,1,2,1,0.42321
1,2,1,2,1,3.3387
1,2,1,2,1,0.74466
1,2,1,2,1,2.5787
1,2,1,2,1,0.49662
1,2,1,2,1,2.7177
1,2,1,2,1,0.57829
1,2,1,2,1,2.0569
1,2,1,2,1,0.59058
1,2,1,2,1,0.82124
1,2,1,2,1,1.0114
1,2,1,2,1,0.84694
1,2,1,2,1,0.94286
1,2,1,2,1,0.67996
1,2,1,2,1,2.7052
1,2,1,2,1,0.53809
1,2,1,2,1,1.5856
1,2,1,2,1,0.26695
1,2,1,2,1,1.3979
1,2,1,2,1,0.66382
1,2,1,2,1,2.0747
1,2,1,2,1,0.93267
1,2,1,2,1,2.0706
1,2,1,2,1,0.44192
1,2,1,2,1,1.8554
1,2,1,2,1,0.91898
1,2,1,2,1,1.7333
1,2,1,2,1,0.56347
1,2,1,2,1,1.357
1,2,1,2,1,0.76167
1,2,1,2,1,1.7281
1,2,1,2,1,0.53057
1,2,1,2,1,2.6844
1,2,1,2,1,0.77778
1,2,1,2,1,2.3091
1,2,1,2,1,0.50113
1,2,1,2,1,1.917
1,2,1,2,1,0.83519
1,2,1,2,1,2.698
1,2,1,2,1,0.67622
1,2,1,2,1,1.8963
1,2,1,2,1,0.53255
1,2,1,2,1,2.6289
1,2,1,2,1,0.66349
1,2,1,2,1,1.9365
1,2,1,2,1,0.53474
1,2,1,2,1,1.9704
1,2,1,2,1,0.79721
1,2,1,2,1,2.9608
1,2,1,2,1,0.70983
1,2,1,2,1,1.8911
1,2,1,2,1,0.63757
1,2,1,2,1,2.142
1,2,1,2,1,1.1143
1,2,1,2,1,0.83168
1,2,1,2,1,0.71105
1,2,1,2,1,2.6867
1,2,1,2,1,0.54628
1,2,1,2,1,2.1429
