grp , pp , S , IDR , IDL , decTimeR
1,2,1,1,2,0.26893
1,2,1,1,2,0.69457
1,2,1,1,2,0.3168
1,2,1,1,2,0.71156
1,2,1,1,2,0.41975
1,2,1,1,2,0.35802
1,2,1,1,2,0.28221
1,2,1,1,2,0.73198
1,2,1,1,2,0.43065
1,2,1,1,2,0.72585
1,2,1,1,2,0.32756
1,2,1,1,2,0.76138
1,2,1,1,2,0.32742
1,2,1,2,1,0.54082
1,2,1,2,1,0.21765
1,2,1,2,1,0.45833
1,2,1,2,1,0.39035
1,2,1,2,1,0.32147
1,2,1,2,1,0.65323
1,2,1,2,1,0.44779
1,2,1,2,1,0.73425
1,2,1,2,1,0.34114
1,2,1,2,1,0.64989
1,2,1,2,1,0.42281
1,2,1,2,1,0.70471
1,2,1,2,1,0.39498
1,2,1,2,1,0.67532
1,2,1,2,1,0.30529
1,2,1,2,1,0.6345
1,2,1,2,1,0.35363
1,2,1,2,1,0.73113
1,2,1,2,1,0.34649
1,2,1,2,1,0.70627
1,2,1,2,1,0.41276
1,2,1,2,1,0.71379
1,2,1,2,1,0.33571
1,2,1,2,1,0.65631
1,2,1,2,1,0.42787
1,2,1,2,1,0.69268
1,2,1,2,1,0.42812
1,2,1,2,1,0.75762
1,2,1,2,1,0.4317
1,2,1,2,1,0.72817
1,2,1,2,1,0.3706
1,2,1,2,1,0.6637
1,2,1,2,1,0.42977
1,2,1,2,1,0.636
1,2,1,2,1,0.37348
1,2,1,2,1,0.66847
1,2,1,2,1,0.36055
1,2,1,2,1,0.70885
1,2,1,2,1,0.42989
1,2,1,2,1,0.59009
1,2,1,2,1,0.38669
1,2,1,2,1,0.67059
1,2,1,2,1,0.35217
1,2,1,2,1,0.68569
1,2,1,2,1,0.29484
1,2,1,2,1,0.67298
1,2,1,2,1,0.32053
1,2,1,2,1,0.72296
1,2,1,2,1,0.31098
1,2,1,2,1,0.72403
1,2,1,2,1,0.27876
1,2,1,2,1,0.68784
1,2,1,2,1,0.33276
1,2,1,2,1,0.67808
1,2,1,2,1,0.41571
1,2,1,2,1,0.65884
1,2,1,2,1,0.40061
1,2,1,2,1,0.7404
1,2,1,2,1,0.5
1,2,1,2,1,0.51208
1,2,1,2,1,0.62963
1,2,1,2,1,0.56818
1,2,1,2,1,0.62653
1,2,1,2,1,0.55181
1,2,1,2,1,0.50489
1,2,1,2,1,0.41448
1,2,1,2,1,0.95522
1,2,1,2,1,0.50674
1,2,1,2,1,0.5298
1,2,1,2,1,0.47185
1,2,1,2,1,0.36134
1,2,1,2,1,0.73452
1,2,1,2,1,0.34299
1,2,1,2,1,0.77423
1,2,1,2,1,0.36097
1,2,1,2,1,0.70884
1,2,1,2,1,0.33959
1,2,1,2,1,0.66273
1,2,1,2,1,0.40728
1,2,1,2,1,0.69462
1,2,1,2,1,0.44851
1,2,1,2,1,0.7876
1,2,1,2,1,0.32846
1,2,1,2,1,0.72253
1,2,1,2,1,0.34058
1,2,1,2,1,0.76021
1,2,1,2,1,0.28563
1,2,1,2,1,0.76278
1,2,1,2,1,0.23045
1,2,1,2,1,0.72159
1,2,1,2,1,0.37926
1,2,1,2,1,0.61609
1,2,1,2,1,0.41551
1,2,1,2,1,0.63204
1,2,1,2,1,0.40131
1,2,1,2,1,0.68378
1,2,1,2,1,0.33528
1,2,1,2,1,0.70791
1,2,1,2,1,0.34328
1,2,1,2,1,0.77259
1,2,1,2,1,0.29306
1,2,1,2,1,0.61878
1,2,1,2,1,0.39749
1,2,1,2,1,0.76126
1,2,1,2,1,0.42081
1,2,1,2,1,0.62988
1,2,1,2,1,0.34289
1,2,1,2,1,0.69399
1,2,1,2,1,0.42527
1,2,1,2,1,0.63784
1,2,1,2,1,0.49865
1,2,1,2,1,0.63149
1,2,1,2,1,0.32772
1,2,1,2,1,0.74001
1,2,1,2,1,0.33909
1,2,1,2,1,0.65932
1,2,1,2,1,0.29751
1,2,1,2,1,0.76999
1,2,1,2,1,0.42705
1,2,1,2,1,0.721
1,2,1,2,1,0.33202
1,2,1,2,1,0.73149
1,2,1,2,1,0.36661
1,2,1,2,1,0.6733
1,2,1,2,1,0.37151
1,2,1,2,1,0.45157
1,2,1,2,1,0.50379
