grp , pp , S , IDR , IDL , circularityL
2,4,4,2,2,0.7854
2,4,4,2,2,0.96044
2,4,4,2,2,0.93104
2,4,4,2,2,0.7854
2,4,4,3,1,0.90181
2,4,4,3,1,0.90807
2,4,4,3,1,0.9412
2,4,4,3,1,0.90181
2,4,4,3,1,0.90807
2,4,4,3,1,0.9412
2,4,4,3,2,0.86372
2,4,4,3,2,0.87386
2,4,4,3,2,0.82992
2,4,4,3,2,0.86372
2,4,4,3,2,0.87386
2,4,4,3,2,0.82992
2,4,7,1,1,0.87871
2,4,7,1,1,0.92372
2,4,7,1,1,0.93806
2,4,7,1,1,0.87871
2,4,7,1,1,0.92372
2,4,7,1,1,0.93806
2,4,7,1,2,0.97351
2,4,7,1,2,0.88733
2,4,7,1,2,0.97213
2,4,7,1,2,0.97351
2,4,7,1,2,0.88733
2,4,7,1,2,0.97213
2,4,7,2,1,0.94684
2,4,7,2,1,0.96646
2,4,7,2,1,0.81713
2,4,7,2,1,0.94684
2,4,7,2,1,0.96646
2,4,7,2,1,0.81713
2,4,7,2,2,0.82302
2,4,7,2,2,0.92877
2,4,7,2,2,0.90613
2,4,7,2,2,0.82302
2,4,7,2,2,0.92877
2,4,7,2,2,0.90613
2,4,7,3,1,0.94178
2,4,7,3,1,0.90712
2,4,7,3,1,0.93937
2,4,7,3,1,0.94178
2,4,7,3,1,0.90712
2,4,7,3,1,0.93937
2,4,7,3,2,0.90838
2,4,7,3,2,0.81897
2,4,7,3,2,0.90107
2,4,7,3,2,0.90838
2,4,7,3,2,0.81897
2,4,7,3,2,0.90107
2,5,1,1,1,0.76838
2,5,1,1,1,0.82809
2,5,1,1,1,0.95827
2,5,1,1,1,0.76838
2,5,1,1,1,0.82809
2,5,1,1,1,0.95827
2,5,1,1,2,0.8866
2,5,1,1,2,0.83104
2,5,1,1,2,0.74101
2,5,1,1,2,0.8866
2,5,1,1,2,0.83104
2,5,1,1,2,0.74101
2,5,1,2,1,0.83927
2,5,1,2,1,0.87631
2,5,1,2,1,0.92046
2,5,1,2,1,0.83927
2,5,1,2,1,0.87631
2,5,1,2,1,0.92046
2,5,1,2,2,0.84782
2,5,1,2,2,0.89479
2,5,1,2,2,0.77651
2,5,1,2,2,0.84782
2,5,1,2,2,0.89479
