grp , pp , S , IDR , IDL , IPerfL
1,2,1,1,2,3.2534
1,2,1,1,2,1.4653
1,2,1,1,2,2.1203
1,2,1,1,2,1.9298
1,2,1,1,2,1.329
1,2,1,1,2,36.612
1,2,1,1,2,30.582
1,2,1,1,2,5.3931
1,2,1,1,2,1.1558
1,2,1,1,2,1.7768
1,2,1,1,2,28.566
1,2,1,1,2,14.441
1,2,1,1,2,1.18
1,2,1,1,2,1.5122
1,2,1,1,2,1.4401
1,2,1,1,2,1.5436
1,2,1,1,2,1.437
1,2,1,1,2,1.565
1,2,1,1,2,1.6814
1,2,1,1,2,1.4645
1,2,1,1,2,1.6076
1,2,1,1,2,1.3546
1,2,1,1,2,1.8014
1,2,1,1,2,1.4097
1,2,1,1,2,1.5237
1,2,1,1,2,1.1312
1,2,1,1,2,1.4013
1,2,1,1,2,1.4854
1,2,1,1,2,1.3337
1,2,1,1,2,1.8674
1,2,1,1,2,1.7493
1,2,1,1,2,1.6016
1,2,1,1,2,1.4028
1,2,1,1,2,1.5802
1,2,1,1,2,1.5061
1,2,1,1,2,1.4449
1,2,1,1,2,1.7411
1,2,1,1,2,1.6136
1,2,1,1,2,1.4888
1,2,1,1,2,1.7158
1,2,1,1,2,1.5
1,2,1,1,2,1.8515
1,2,1,1,2,1.5707
1,2,1,1,2,1.5688
1,2,1,1,2,1.676
1,2,1,1,2,1.3681
1,2,1,1,2,1.6106
1,2,1,1,2,1.8332
1,2,1,1,2,1.4205
1,2,1,1,2,1.8255
1,2,1,1,2,1.6803
1,2,1,1,2,1.9227
1,2,1,1,2,1.5491
1,2,1,1,2,1.53
1,2,1,1,2,1.747
1,2,1,1,2,1.477
1,2,1,1,2,1.5418
1,2,1,1,2,1.917
1,2,1,1,2,1.7158
1,2,1,1,2,1.6674
1,2,1,1,2,1.7659
1,2,1,1,2,1.7192
1,2,1,1,2,1.6473
1,2,1,1,2,0.52557
1,2,1,1,2,2.1483
1,2,1,1,2,2.0663
1,2,1,1,2,1.8947
1,2,1,1,2,2.9406
1,2,1,1,2,1.5754
1,2,1,1,2,2.0812
1,2,1,1,2,1.8782
1,2,1,1,2,1.9255
1,2,1,1,2,2.3525
1,2,1,1,2,2.2256
1,2,1,1,2,2.5116
1,2,1,1,2,2.0997
1,2,1,1,2,1.9413
1,2,1,1,2,2.168
1,2,1,1,2,2.0308
1,2,1,1,2,1.998
1,2,1,1,2,2.2048
1,2,1,1,2,1.8661
1,2,1,1,2,1.8358
1,2,1,1,2,1.7399
1,2,1,1,2,2.2923
